taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Chromista;Ciliophora;Litostomatea;Vestibuliferida;Balantidiidae;Balantidium,2,5
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae,7,7
Fungi;Zoopagomycota;Zoopagomycetes;Zoopagales;Piptocephalidaceae;Syncephalis;Syncephalis depressa,3,3
Animalia;Nematoda;Chromadorea;Rhabditida,3,3
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;Sarcocystis miescheriana,4,4
Protozoa;Euglenozoa;Euglenida;Rhabdomonadales;Astasiidae;Astasia;Astasia torta,1,1
Chromista;NA;Phaeophyceae;Fucales;Fucaceae;Fucus;Fucus gardneri,2,2
Animalia;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Orbicella,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Synchytriales;Synchytriaceae;Synchytrium;Synchytrium taraxaci,5,16
Bacteria;Pseudomonadota;Alphaproteobacteria;Holosporales,3,3
Chromista;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota,5,5
Fungi;Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Umbilicaria;Umbilicaria muehlenbergii,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella,9,143
Chromista;NA;Dinophyceae;Gonyaulacales;Goniodomataceae;Gambierdiscus;Gambierdiscus sp.,1,1
Plantae;Chlorophyta;Ulvophyceae;Ulvales;Bolbocoleonaceae;Bolbocoleon;Bolbocoleon piliferum,2,2
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium,22,22
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Globomycetaceae,20,228
Animalia;Platyhelminthes;Monogenea;Gyrodactylidea;Gyrodactylidae,1,1
Animalia;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona ferreirai,1,1
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium caudatum,31,81
Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Turaniellidae;Dexiostoma;Dexiostoma campyla,10,140
Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia muriae,4,23
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria,9,255
Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Rubus;Rubus crataegifolius,2,2
Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Ophidiomyces;Ophidiomyces ophidiicola,2,2
Bacteria;Cyanobacteria;NA;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;Leptolyngbya sp. 7M,5,31
Plantae;Streptophyta;Magnoliopsida,1,1
Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae;Brachionus;Brachionus rubens,6,109
Chromista;Endomyxa;NA;Vampyrellida;Leptophryidae;Arachnula;Arachnula impatiens,30,1846
Protozoa;Euglenozoa;NA;Diplonemea;NA;NA;Diplonemida sp. 1sb RG-2016,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Brachypodium;Brachypodium distachyon,1,1
Chromista;Bacillariophyta;Fragilariophyceae;Rhaponeidales;Rhaphoneidaceae;Rhaphoneis,2,2
Animalia;Arthropoda;Arachnida;Araneae;Plectreuridae;Plectreurys;Plectreurys deserta,1,1
Animalia;Annelida;Polychaeta;Spionida;Spionidae;Dipolydora;Dipolydora quadrilobata,9,192
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula,13,414
Animalia;Cnidaria;Anthozoa,15,15
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Koelreuteria;Koelreuteria bipinnata,1,1
Chromista;NA;Centroplasthelida;Pterocystida;Pterocystidae;Pterocystis;Pterocystis sp.,6,6
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces,13,79
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia chinchillensis,1,1
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas globosa,4,311
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Chamaecrista;Chamaecrista nictitans,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;alpha proteobacterium OM25,5,5
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces finlayi,5,5
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia sp.,1,1
Fungi;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Zoophthora;Zoophthora occidentalis,1,1
Animalia;Ctenophora,15,55
Animalia;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,2,2
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus;Sandaracinus amylolyticus,2,2
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Paragymnodinium;Paragymnodinium inerme,19,19
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sp. Sx8-5,2,7
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia pacifica,1,1
Chromista;Ciliophora;Prostomatea;Prorodontida;Holophryidae;Holophrya;Holophrya teres,15,15
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. LB17,5,11
Animalia;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus,19,19
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae,104,1363
Animalia;Rotifera;Eurotatoria;Ploima;Proalidae;Proales;Proales fallaciosa,2,149
Protozoa;Tubulinea;Echinamoebida;NA;NA;Vermamoeba;Vermamoeba vermiformis,3,96
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema tropicum,5,5
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Fomitopsidaceae;Antrodia;Antrodia sp. CBS 101451,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia,2,3
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;Rhizophydium sp.,1,1
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Chrysonephele;Chrysonephele palustris,3,3
Protozoa;Discosea;Flabellinia;NA;Vannellidae;Ripella,5,195
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Elioraeaceae;Elioraea;Elioraea rosea,3,3
Chromista;Oomycota;NA;Peronosporales;Peronosporaceae;Phytophthora,7,118
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Oxytricha;Oxytricha saltans,3,3
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys;Diophrys cf. oligothrix,6,6
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Apera;Apera interrupta,1,1
Chromista;NA;Chrysophyceae;NA;NA;NA;Spumella-like flagellate JBNZ40,1,1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Boeremia;Boeremia exigua,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida,2,2
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae,10,10
Chromista;NA;Phaeophyceae;Laminariales;Laminariaceae;Hedophyllum;Hedophyllum nigripes,7,7
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio biadhensis,17,17
Plantae;Streptophyta;Jungermanniopsida;Porellales;Porellaceae;Ascidiota;Ascidiota blepharophylla,1,1
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Vulgatibacteraceae;Vulgatibacter;Vulgatibacter incomptus,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus sp. CBS 265.73,1,1
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. HK5,1,1
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;Pfiesteria;Pfiesteria piscicida,6,6
Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae;Brachionus;Brachionus calyciflorus,1,1
Plantae;Streptophyta;Magnoliopsida;Myrtales;Melastomataceae,3,5
Protozoa;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca kvevrii,1,1
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium parvum,1,1
Plantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae,1,1
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Spirostomidae;Spirostomum;Spirostomum subtilis,3,8
Animalia;Porifera;Demospongiae;Suberitida,2,2
Plantae;Chlorophyta;Chlorophyceae;NA;NA;NA;Chlorophyceae sp. VPL9-5,2,2
Chromista;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina hypsilepis,3,3
Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Belvosia;Belvosia sp. Woodley04A,1,1
Chromista;Ciliophora;Colpodea;NA;NA;NA;Uncultured marine colpodean ciliate DH147-EKD23,1,1
Animalia;Rotifera;Eurotatoria;Ploima;Dicranophoridae,1,1
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Fragilaria;Fragilaria capucina,3,8
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strombidinopsidae;Strombidinopsis;Strombidinopsis acuminata,4,4
Plantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;Ipomoea corymbosa,1,1
Chromista;NA;Bigyra;Bicosoecida;Siluaniidae,7,279
Chromista;NA;Dinophyceae;Blastodiniales;NA;Blastodinium;Blastodinium mangini,11,11
Chromista;Ciliophora;Spirotrichea;Tintinnida;Codonellidae,9,9
Chromista;NA;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium caudatum,6,6
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Protogastrostyla;Protogastrostyla pulchra,3,3
Animalia;Arthropoda;Hexanauplia;Calanoida;Pontellidae;Labidocera,2,27
Chromista;Ciliophora;Litostomatea,98,7529
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Modiolus;Modiolus americanus,5,5
Plantae;Streptophyta;Magnoliopsida;Rosales;Moraceae;Artocarpus,2,2
Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;Mastigosporium;Mastigosporium album,11,11
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris sp. AS 2-10,2,2
Animalia;Mollusca,2,2
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Gregarinidae;NA;Gregarinidae sp. from Tubulanus polymorphus SR-2009b,1,1
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma sp. FTL61,7,7
Chromista;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Ctenophora;Ctenophora sp. (in: diatoms),1,1
Animalia;Platyhelminthes;Monogenea;Mazocraeidea,3,265
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira,12,12
Protozoa;Cercozoa;NA;Cercomonadida;Cercomonadidae;Paracercomonas;Paracercomonas compacta,2,2
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Spirostomidae;Spirostomum,16,384
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Arctic sea ice associated bacterium ARK10142,2,2
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;Strelitziana;Strelitziana albiziae,1,1
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina,1,1
Chromista;NA;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium sp. ex Cancer pagurus,2,2
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;Nannochloris sp. NIES-3880,6,6
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales,38,405
Plantae;Chlorophyta;Trebouxiophyceae;NA;NA;Choricystis,2,2
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas,6,6
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fuscoporia;Fuscoporia gilva,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium plasticum,3,3
Plantae;Streptophyta;Magnoliopsida;Santalales;Schoepfiaceae;Quinchamalium;Quinchamalium chilense,1,1
Plantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Lycium;Lycium sp. YX-2018,17,17
Chromista;NA;Dinophyceae;Blastodiniales;NA;Haplozoon,1,1
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. BEG104,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,1,1
Plantae;Chlorophyta;Trebouxiophyceae;NA;NA;Choricystis;Choricystis sp. AS-29,1,1
Plantae;Rhodophyta;Florideophyceae;Corallinales;Corallinaceae;Jania;Jania sp. OK239,3,3
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida/Saccharomycetales;[Candida] melibiosica,4,5
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Caloneis;Caloneis amphisbaena,1,1
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Thraustochytrium;Thraustochytrium sp. AR2-19,2,2
Animalia;Mollusca;Gastropoda;Nudibranchia;Tritoniidae;Tritonia;Tritonia festiva,1,1
Animalia;Nematoda;Chromadorea,2,2
Plantae;Streptophyta;Magnoliopsida;Solanales;Solanaceae;Solanum,3,3
Fungi;Zoopagomycota;Harpellomycetes;Harpellales;Legeriomycetaceae;Smittium;Smittium gravimetallum,1,1
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae,19,19
Protozoa;Heterolobosea;NA;NA;Vahlkampfiidae;Naegleria;Naegleria sp. GG4BV,1,1
Protozoa;NA;NA;Rotosphaerida;Nucleariidae,2,3
Bacteria;Pseudomonadota;Oligoflexia;Bdellovibrionales;Pseudobdellovibrionaceae;Pseudobdellovibrio;Pseudobdellovibrio exovorus,2,2
Protozoa;Evosea;NA;Mastigamoebida;Mastigamoebidae;Mastigamoeba,5,5
Fungi;Ascomycota;Eurotiomycetes;Phaeomoniellales;Phaeomoniellaceae,1,1
Animalia;Bryozoa;Stenolaemata;Tubuliporida;Tubuliporidae,1,1
Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Hemichloris;Hemichloris antarctica,11,18
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Cladocopium;Cladocopium sp. clade C,2,2
Fungi;Ascomycota;Dothideomycetes;NA;Micropeltidaceae;Stomiopeltis;Stomiopeltis sp. RS3.4,3,6
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus sp. 7 SUN-2011,12,12
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Protomycetaceae;Protomyces;Protomyces inouyei,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales,7,7
Animalia;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus parvus,2,2
Chromista;Bacillariophyta;Bacillariophyceae;Cymbellales;Gomphonemataceae;Gomphonema;Gomphonema parvulum,2,2
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp.,11,11
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis cylindrus,2,2
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia deformans,2,1441
Chromista;Ciliophora;Oligohymenophorea;Mobilida;Trichodinidae;Trichodina;Trichodina ruditapicis,5,5
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium;Strombidium sp. SBB99-1,17,17
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Arcuseries,2,2
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Boothiomyces;Boothiomyces sp.,4,4
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp.,5,5
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Pseudomuriellaceae;Pseudomuriella;Pseudomuriella sp. Itas 9/21 14-1d,1,1
Plantae;Streptophyta;Magnoliopsida;Ericales;Sapotaceae,31,31
Fungi;Ascomycota;Leotiomycetes;Helotiales;Chlorociboriaceae;Chlorociboria;Chlorociboria aeruginosa,1,1
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae,1,1
Plantae;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva flexuosa,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella,1,1
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa pseudotriquetra,19,19
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora;Membranipora sp. BLEED1777,2,2
Animalia;Porifera;Demospongiae,11,11
Fungi;Basidiomycota;Tremellomycetes;Tremellales;NA;NA;Tremellales sp. LM630,4,1531
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos,9,9
Plantae;Streptophyta;Magnoliopsida;Lamiales;Calceolariaceae;Calceolaria,1,1
Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Branchiomma,1,1
Fungi;Ascomycota;Leotiomycetes;Helotiales;NA;NA;Helotiales sp.,1,1
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;NA;Mytilidae gen. n. sp. a ST-2022,1,1
Animalia;Arthropoda;Insecta;Psocoptera;Liposcelididae;Liposcelis;Liposcelis tricolor,1,1
Plantae;Chlorophyta;NA;NA;Pycnococcaceae,10,10
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus danicus,14,14
Plantae;Streptophyta;Magnoliopsida;Sapindales;Burseraceae;Bursera;Bursera instabilis,3,3
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales,38,16804
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida/Saccharomycetales;[Candida] saopauloensis,7,658
Animalia;Cnidaria;Anthozoa;Alcyonacea;Xeniidae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga sp. R24,13,53
Chromista;Foraminifera;NA;NA;NA;Flexammina;Flexammina islandica,1,1
Animalia;Arthropoda;Insecta;Lepidoptera;Bombycidae;Bombyx;Bombyx mori,1,1
Fungi;Basidiomycota;Pucciniomycetes,5,124
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,1,1
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium bursaria,8,8
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita,3,14
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tephroseris;Tephroseris crispa,44,44
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter,6,6
Animalia;Arthropoda;Malacostraca;Isopoda;Cirolanidae;Eurydice;Eurydice pulchra,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methyloceanibacter;Methyloceanibacter sp. wino2,6,11
Chromista;Haptophyta;NA;Coccolithales;Calcidiscaceae;Tergestiella;Tergestiella adriatica,3,3
Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae,1,1
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Acrodontium;Acrodontium crateriforme,11,482
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Orchitophryidae;Mesanophrys;Mesanophrys carcini,6,6
Animalia;Cnidaria;Anthozoa;Pennatulacea;Renillidae;Renilla;Renilla reniformis,1,1
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,1,1
Animalia;Mollusca;Gastropoda;Architaenioglossa;Diplommatinidae;Plectostoma,3,3
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Nanocnide,2,2
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Stylonychia;Stylonychia pustulata,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Entoloma;Entoloma asterosporum,1,1
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp. HZ-2005,17,17
Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium,62,1919
Animalia;Arthropoda;Insecta;Hemiptera,4,4
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;Altererythrobacter sp. TH136,1,1
Plantae;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Sinapis;Sinapis alba,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Tenuicylindrus;Tenuicylindrus belgicus,5,5
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;NA;Chaetothyriales sp. MP-2014,3,3
Fungi;Chytridiomycota;Chytridiomycetes;Lobulomycetales;Lobulomycetaceae;Clydaea;Clydaea vesicula,1,1
Chromista;NA;Dinophyceae;Peridiniales;Podolampadaceae;Roscoffia;Roscoffia capitata,21,21
Plantae;Streptophyta;Magnoliopsida;Vitales;Vitaceae,4,4
Fungi;Basidiomycota;Wallemiomycetes,4,7
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia bicuspidata,3,3
Chromista;NA;Dinophyceae;Peridiniales;Peridiniopsidaceae;Palatinus;Palatinus apiculatus,20,20
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas primoveris,1,1
Animalia;Chordata;Ascidiacea;Aplousobranchia;Clavelinidae;Distaplia;Distaplia dubia,2,2
Plantae;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosarcinaceae;Neochlorosarcina,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;NA;NA;Rhodospirillales bacterium,2,2
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Trametes;Trametes versicolor,4,15
Fungi;Ascomycota;Leotiomycetes;Erysiphales;Erysiphaceae;Erysiphe,5,5
Chromista;Foraminifera;NA;NA;Allogromiidae;NA;Allogromiina sp. A119,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Leptocylindrales;Leptocylindraceae;Leptocylindrus;Leptocylindrus hargravesii,11,11
Plantae;Streptophyta;Magnoliopsida;Boraginales;Boraginaceae,4,4
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes orientalis,12,12
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus intraradices,13,67
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus terreus,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia,2,4
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rodmanochytrium;Rodmanochytrium sp.,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Aureliella;Aureliella helgolandensis,4,4
Chromista;NA;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas sp. M1480,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;Pseudoalteromonas sp. Gp-4-15.2.1,1,1
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Lepidodinium;Lepidodinium viride,11,11
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima,6,6
Animalia;Cnidaria;Hydrozoa;Leptothecata;Mitrocomidae;Mitrocomella,16,64
Fungi;Basidiomycota;Agaricomycetes;Russulales;Auriscalpiaceae;Artomyces;Artomyces pyxidatus,6,813
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Rhizophydiaceae;Rhizophydium;Rhizophydium sp. MP008,5,60
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Ramularia,3,4
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas,10,10
Animalia;Arthropoda;Thecostraca;Balanomorpha;Balanidae;Balanus;Balanus nubilus,8,8
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Piscinoodinium;Piscinoodinium sp. RWL-2007,31,31
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Proteomonas;Proteomonas sulcata,1,1
Animalia;Arthropoda;Arachnida;Araneae;Deinopidae;Deinopis,1,1
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas longipes,2,2
Chromista;Bacillariophyta;Bacillariophyceae;Cymbellales;Anomoeoneidaceae;Anomoeoneis;Anomoeoneis sphaerophora,1,1
Chromista;NA;Bigyra;NA;NA;NA;labyrinthulid quahog parasite QPX,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Chasechloa;Chasechloa madagascariensis,3,75
